"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"123",10,0,10,10,1,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"124",8,8,2,0,1,1,1,1,0.908994400780259,0.025452049081644,0.065553550138097
"125",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"126",1,0,10,10,2,1,2,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"127",10,8,0,0,2,2,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"128",0,10,4,0,1,1,1,2,0.353637644137966,0.407216372177442,0.239145983684592
"129",9,8,10,10,1,1,1,1,0.962524793430876,0.00954038504422914,0.0279348215248949
"130",0,0,7,7,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"131",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"132",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"133",2,2,3,6,2,2,2,2,0.0247330042220792,0.914146188752927,0.0611208070249944
"134",10,10,1,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"135",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"136",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"137",2,3,9,8,2,1,2,2,0.0571063030517308,0.823845949844298,0.119047747103971
"138",0,0,10,10,1,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"139",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"140",10,9,2,10,1,1,1,1,0.985896933695699,0.00382492991739206,0.0102781363869092
"141",10,10,3,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"142",5,7,5,5,1,1,1,1,0.488619041168091,0.215413755085824,0.295967203746085
"143",0,0,10,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"144",10,8,7,7,2,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"145",10,5,0,0,2,2,2,3,0.462027183622565,0.0697868238365981,0.468185992540837
"146",0,0,10,10,1,1,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"147",5,5,10,10,2,2,2,3,0.280947515276685,0.285812622484835,0.43323986223848
"148",1,6,8,9,2,2,2,2,0.192140749038413,0.595056140337532,0.212803110624055
"149",10,1,9,10,2,2,2,3,0.0576004754370169,0.0398228171539922,0.902576707408991
"150",10,10,0,0,2,2,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"151",10,0,8,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"152",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"153",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"154",5,5,1,1,1,2,2,3,0.280947515276685,0.285812622484835,0.43323986223848
"155",0,0,10,10,2,2,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"156",10,8,0,0,1,1,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"157",0,10,0,0,2,2,2,2,0.353637644137966,0.407216372177442,0.239145983684592
"158",0,0,8,8,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"159",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"160",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"161",8,8,0,0,1,1,2,1,0.908994400780259,0.025452049081644,0.065553550138097
"162",5,7,0,0,1,1,2,1,0.488619041168091,0.215413755085824,0.295967203746085
"163",7,6,0,0,2,1,1,1,0.523648047172003,0.115610977808634,0.360740975019363
"164",10,0,5,8,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"165",8,8,0,2,1,1,1,1,0.908994400780259,0.025452049081644,0.065553550138097
"166",10,0,0,0,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"167",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"168",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"169",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"170",0,1,7,8,2,2,2,2,0.0096485042041423,0.970067274480514,0.0202842213153439
"171",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"172",10,7,0,3,2,1,1,1,0.848880198367097,0.0311876850968327,0.119932116536071
"173",10,9,0,0,1,1,1,1,0.985896933695699,0.00382492991739206,0.0102781363869092
"174",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"175",10,0,10,10,2,1,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"176",10,10,10,10,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"177",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"178",10,10,5,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"179",0,0,0,0,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"180",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"181",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"182",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"183",9,10,7,10,2,2,2,1,0.982832016164015,0.00538056526105506,0.01178741857493
"184",0,0,10,10,2,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"185",5,7,0,0,2,2,2,1,0.488619041168091,0.215413755085824,0.295967203746085
"186",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"187",10,10,5,2,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"188",10,0,7,6,2,1,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"189",7,10,0,0,2,1,2,1,0.872215103327468,0.0468121466911644,0.0809727499813682
"190",0,0,10,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"191",8,7,1,0,2,1,1,1,0.790358606609221,0.0507306537055148,0.158910739685265
"192",7,10,0,0,1,1,2,1,0.872215103327468,0.0468121466911644,0.0809727499813682
"193",2,0,6,7,2,2,2,2,0.00830528224835712,0.966185376536416,0.0255093412152266
"194",5,7,0,0,1,1,1,1,0.488619041168091,0.215413755085824,0.295967203746085
"195",10,8,2,3,2,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"196",0,0,9,9,2,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"197",5,0,7,1,1,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"198",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"199",10,4,5,5,1,1,1,3,0.271950750678415,0.067358835156187,0.660690414165398
"200",5,5,5,3,2,1,1,3,0.280947515276685,0.285812622484835,0.43323986223848
"201",5,1,2,0,2,1,1,3,0.077500068021449,0.366468352785861,0.55603157919269
"202",10,0,10,10,2,1,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"203",5,0,10,10,1,1,1,3,0.0707433876848691,0.398343040195579,0.530913572119552
"204",2,0,8,8,1,1,1,2,0.00830528224835712,0.966185376536416,0.0255093412152266
"205",0,0,5,10,2,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"206",1,0,9,9,1,1,1,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"207",0,0,10,10,2,2,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"208",10,4,10,10,1,1,1,3,0.271950750678415,0.067358835156187,0.660690414165398
"209",5,0,10,10,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"210",10,0,9,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"211",0,10,0,0,2,2,2,2,0.353637644137966,0.407216372177442,0.239145983684592
"212",10,0,9,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"213",10,3,5,7,2,1,2,3,0.142780282763495,0.0531554174358033,0.804064299800702
"214",10,5,10,10,2,2,2,3,0.462027183622565,0.0697868238365981,0.468185992540837
"215",5,10,0,0,2,2,2,1,0.677120811412406,0.143693414348996,0.179185774238598
"216",6,7,6,4,1,1,1,1,0.58440735119773,0.143502234999368,0.272090413802902
"217",8,10,0,0,1,1,1,1,0.946886856813528,0.0178553940368118,0.0352577491496606
"218",1,1,7,7,2,2,2,2,0.00149667502996314,0.994929777587035,0.00357354738300189
"219",9,7,0,5,2,2,2,1,0.849701158333063,0.0326463810491189,0.117652460617819
"220",10,8,1,1,1,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"221",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"222",1,1,8,10,2,2,2,2,0.00149667502996314,0.994929777587035,0.00357354738300189
